id	k	g	s
7163	0.950	0.000	0.600
7164	0.950	0.100	0.600
7165	0.950	0.200	0.600
7166	0.950	0.300	0.600
7167	0.950	0.400	0.600
7168	0.950	0.500	0.600
7169	0.950	0.600	0.600
7170	0.950	0.700	0.600
7171	0.950	0.800	0.600
7172	0.950	0.900	0.600
7173	1.050	0.000	0.600
7174	1.050	0.100	0.600
7175	1.050	0.200	0.600
7176	1.050	0.300	0.600
7177	1.050	0.400	0.600
7178	1.050	0.500	0.600
7179	1.050	0.600	0.600
7180	1.050	0.700	0.600
7181	1.050	0.800	0.600
7182	1.050	0.900	0.600
8067	0.150	0.000	0.300
7184	1.150	0.100	0.600
7185	1.150	0.200	0.600
7186	1.150	0.300	0.600
7187	1.150	0.400	0.600
7188	1.150	0.500	0.600
7189	1.150	0.600	0.600
7190	1.150	0.700	0.600
7191	1.150	0.800	0.600
7192	1.150	0.900	0.600
7193	1.250	0.000	0.600
7194	1.250	0.100	0.600
7195	1.250	0.200	0.600
7196	1.250	0.300	0.600
7197	1.250	0.400	0.600
7198	1.250	0.500	0.600
7199	1.250	0.600	0.600
7200	1.250	0.700	0.600
7201	1.250	0.800	0.600
7202	1.250	0.900	0.600
7203	1.350	0.000	0.600
7204	1.350	0.100	0.600
7205	1.350	0.200	0.600
7206	1.350	0.300	0.600
7207	1.350	0.400	0.600
7208	1.350	0.500	0.600
7209	1.350	0.600	0.600
7210	1.350	0.700	0.600
7211	1.350	0.800	0.600
7212	1.350	0.900	0.600
7213	1.450	0.000	0.600
7214	1.450	0.100	0.600
7215	1.450	0.200	0.600
7216	1.450	0.300	0.600
7217	1.450	0.400	0.600
7218	1.450	0.500	0.600
7219	1.450	0.600	0.600
7220	1.450	0.700	0.600
7221	1.450	0.800	0.600
7222	1.450	0.900	0.600
7223	1.550	0.000	0.600
7224	1.550	0.100	0.600
7225	1.550	0.200	0.600
7226	1.550	0.300	0.600
7227	1.550	0.400	0.600
7228	1.550	0.500	0.600
7229	1.550	0.600	0.600
7230	1.550	0.700	0.600
7231	1.550	0.800	0.600
7232	1.550	0.900	0.600
7233	1.650	0.000	0.600
7234	1.650	0.100	0.600
7235	1.650	0.200	0.600
7236	1.650	0.300	0.600
7237	1.650	0.400	0.600
7238	1.650	0.500	0.600
7239	1.650	0.600	0.600
7240	1.650	0.700	0.600
7241	1.650	0.800	0.600
7242	1.650	0.900	0.600
7413	0.050	0.000	0.800
7582	1.650	0.900	0.800
7581	1.650	0.800	0.800
7580	1.650	0.700	0.800
7579	1.650	0.600	0.800
7578	1.650	0.500	0.800
7577	1.650	0.400	0.800
7576	1.650	0.300	0.800
7575	1.650	0.200	0.800
7574	1.650	0.100	0.800
7573	1.650	0.000	0.800
7572	1.550	0.900	0.800
7571	1.550	0.800	0.800
7570	1.550	0.700	0.800
7569	1.550	0.600	0.800
7568	1.550	0.500	0.800
7567	1.550	0.400	0.800
7566	1.550	0.300	0.800
7565	1.550	0.200	0.800
7564	1.550	0.100	0.800
7563	1.550	0.000	0.800
7562	1.450	0.900	0.800
7561	1.450	0.800	0.800
7560	1.450	0.700	0.800
7559	1.450	0.600	0.800
7558	1.450	0.500	0.800
7557	1.450	0.400	0.800
7556	1.450	0.300	0.800
7555	1.450	0.200	0.800
7554	1.450	0.100	0.800
7553	1.450	0.000	0.800
7552	1.350	0.900	0.800
7551	1.350	0.800	0.800
7550	1.350	0.700	0.800
7549	1.350	0.600	0.800
7548	1.350	0.500	0.800
7547	1.350	0.400	0.800
7546	1.350	0.300	0.800
7545	1.350	0.200	0.800
7544	1.350	0.100	0.800
7543	1.350	0.000	0.800
7542	1.250	0.900	0.800
7541	1.250	0.800	0.800
7540	1.250	0.700	0.800
7539	1.250	0.600	0.800
7538	1.250	0.500	0.800
7537	1.250	0.400	0.800
7536	1.250	0.300	0.800
7535	1.250	0.200	0.800
7534	1.250	0.100	0.800
7533	1.250	0.000	0.800
7532	1.150	0.900	0.800
7531	1.150	0.800	0.800
7530	1.150	0.700	0.800
7529	1.150	0.600	0.800
7528	1.150	0.500	0.800
7527	1.150	0.400	0.800
7526	1.150	0.300	0.800
7525	1.150	0.200	0.800
7524	1.150	0.100	0.800
7523	1.150	0.000	0.800
7522	1.050	0.900	0.800
7521	1.050	0.800	0.800
7520	1.050	0.700	0.800
7519	1.050	0.600	0.800
7518	1.050	0.500	0.800
7517	1.050	0.400	0.800
7516	1.050	0.300	0.800
7515	1.050	0.200	0.800
7514	1.050	0.100	0.800
7513	1.050	0.000	0.800
7512	0.950	0.900	0.800
7511	0.950	0.800	0.800
7510	0.950	0.700	0.800
7509	0.950	0.600	0.800
7508	0.950	0.500	0.800
7507	0.950	0.400	0.800
7506	0.950	0.300	0.800
7505	0.950	0.200	0.800
7504	0.950	0.100	0.800
7503	0.950	0.000	0.800
7502	0.850	0.900	0.800
7501	0.850	0.800	0.800
7500	0.850	0.700	0.800
7499	0.850	0.600	0.800
7498	0.850	0.500	0.800
7497	0.850	0.400	0.800
7496	0.850	0.300	0.800
7495	0.850	0.200	0.800
7494	0.850	0.100	0.800
7493	0.850	0.000	0.800
7492	0.750	0.900	0.800
7491	0.750	0.800	0.800
7490	0.750	0.700	0.800
7489	0.750	0.600	0.800
7488	0.750	0.500	0.800
7487	0.750	0.400	0.800
7486	0.750	0.300	0.800
7485	0.750	0.200	0.800
7484	0.750	0.100	0.800
7483	0.750	0.000	0.800
7482	0.650	0.900	0.800
7481	0.650	0.800	0.800
7480	0.650	0.700	0.800
7479	0.650	0.600	0.800
7478	0.650	0.500	0.800
7477	0.650	0.400	0.800
7476	0.650	0.300	0.800
7475	0.650	0.200	0.800
7474	0.650	0.100	0.800
7473	0.650	0.000	0.800
7472	0.550	0.900	0.800
7471	0.550	0.800	0.800
7470	0.550	0.700	0.800
7469	0.550	0.600	0.800
7468	0.550	0.500	0.800
7467	0.550	0.400	0.800
7466	0.550	0.300	0.800
7465	0.550	0.200	0.800
7464	0.550	0.100	0.800
7463	0.550	0.000	0.800
7462	0.450	0.900	0.800
7461	0.450	0.800	0.800
7460	0.450	0.700	0.800
7459	0.450	0.600	0.800
7458	0.450	0.500	0.800
7457	0.450	0.400	0.800
7456	0.450	0.300	0.800
7455	0.450	0.200	0.800
7454	0.450	0.100	0.800
7453	0.450	0.000	0.800
7452	0.350	0.900	0.800
7451	0.350	0.800	0.800
7450	0.350	0.700	0.800
7449	0.350	0.600	0.800
7448	0.350	0.500	0.800
7447	0.350	0.400	0.800
7446	0.350	0.300	0.800
7445	0.350	0.200	0.800
7444	0.350	0.100	0.800
7443	0.350	0.000	0.800
