,ID,k,g,s,macro_m
213,7096.0,0.25,0.3,0.6,2.1164021164021163
214,7097.0,0.25,0.4,0.6,2.4844720496894412
215,7098.0,0.25,0.5,0.6,3.2
216,7099.0,0.25,0.6,0.6,4.938271604938271
217,8086.0,0.25,0.1,0.5,1.8099547511312217
218,8085.0,0.25,0.0,0.5,1.7777777777777777
219,7102.0,0.25,0.9,0.6,-4.04040404040404
220,7103.0,0.35,0.0,0.6,2.3668639053254434
221,7104.0,0.35,0.1,0.6,2.424242424242424
222,7105.0,0.35,0.2,0.6,2.61437908496732
223,7106.0,0.35,0.3,0.6,3.007518796992481
224,7107.0,0.35,0.4,0.6,3.8095238095238093
225,7108.0,0.35,0.5,0.6,5.7971014492753605
226,8084.0,0.15,0.9,0.5,-11.428571428571411
227,8083.0,0.15,0.8,0.5,12.121212121212151
228,7111.0,0.35,0.8,0.6,-4.597701149425285
229,7112.0,0.35,0.9,0.6,-2.5806451612903225
230,7113.0,0.45,0.0,0.6,3.305785123966942
231,7114.0,0.45,0.1,0.6,3.418803418803418
232,7115.0,0.45,0.2,0.6,3.8095238095238084
233,7116.0,0.45,0.3,0.6,4.705882352941176
234,7117.0,0.45,0.4,0.6,7.017543859649122
235,8082.0,0.15,0.7,0.5,4.301075268817205
236,8071.0,0.65,0.8,0.3,-1.9323671497584534
237,7120.0,0.45,0.7,0.6,-5.333333333333337
238,7121.0,0.45,0.8,0.6,-2.9629629629629624
239,7122.0,0.45,0.9,0.6,-1.9704433497536944
240,7123.0,0.55,0.0,0.6,4.938271604938272
241,7124.0,0.55,0.1,0.6,5.1948051948051965
242,7125.0,0.55,0.2,0.6,6.153846153846156
243,7126.0,0.55,0.3,0.6,8.888888888888893
244,8070.0,0.55,0.8,0.3,-2.2857142857142847
245,8069.0,0.45,0.7,0.3,-5.333333333333337
246,7129.0,0.55,0.6,0.6,-6.349206349206348
247,7130.0,0.55,0.7,0.6,-3.4782608695652177
248,7131.0,0.55,0.8,0.6,-2.2857142857142847
249,7132.0,0.55,0.9,0.6,-1.6460905349794235
250,7133.0,0.65,0.0,0.6,8.163265306122451
251,7134.0,0.65,0.1,0.6,8.88888888888889
252,7135.0,0.65,0.2,0.6,12.121212121212125
253,7136.0,0.65,0.3,0.6,30.76923076923078
254,8068.0,0.45,0.4,0.3,7.017543859649122
255,7138.0,0.65,0.5,0.6,-7.8431372549019605
256,7139.0,0.65,0.6,0.6,-4.2105263157894735
257,7140.0,0.65,0.7,0.6,-2.72108843537415
258,7141.0,0.65,0.8,0.6,-1.9323671497584534
259,7142.0,0.65,0.9,0.6,-1.4545454545454544
260,7143.0,0.75,0.0,0.6,16.0
261,7144.0,0.75,0.1,0.6,19.047619047619047
262,7145.0,0.75,0.2,0.6,44.44444444444446
263,7146.0,0.75,0.3,0.6,-36.36363636363637
264,7147.0,0.75,0.4,0.6,-10.256410256410254
265,7148.0,0.75,0.5,0.6,-5.333333333333333
266,7149.0,0.75,0.6,0.6,-3.361344537815126
267,7150.0,0.75,0.7,0.6,-2.339181286549708
268,7151.0,0.75,0.8,0.6,-1.7316017316017311
269,7152.0,0.75,0.9,0.6,-1.3377926421404682
270,7153.0,0.85,0.0,0.6,44.444444444444436
271,7154.0,0.85,0.1,0.6,79.99999999999997
272,7155.0,0.85,0.2,0.6,-57.14285714285714
273,7156.0,0.85,0.3,0.6,-14.814814814814817
274,7157.0,0.85,0.4,0.6,-7.2727272727272725
275,7158.0,0.85,0.5,0.6,-4.395604395604396
276,7159.0,0.85,0.6,0.6,-2.9629629629629632
277,7160.0,0.85,0.7,0.6,-2.1390374331550808
278,7161.0,0.85,0.8,0.6,-1.6194331983805663
279,7162.0,0.85,0.9,0.6,-1.2698412698412698
280,7163.0,0.95,0.0,0.6,399.9999999999993
281,7164.0,0.95,0.1,0.6,-133.33333333333337
282,7165.0,0.95,0.2,0.6,-26.666666666666664
283,7166.0,0.95,0.3,0.6,-11.428571428571429
284,7167.0,0.95,0.4,0.6,-6.349206349206348
285,7168.0,0.95,0.5,0.6,-4.040404040404041
286,7169.0,0.95,0.6,0.6,-2.7972027972027975
287,7170.0,0.95,0.7,0.6,-2.0512820512820515
