,ID,k,g,s,macro_m,min,max,mag_avg,ray_avg,min_mag,max_mag,const
2137,45111.0,1.1,1.4,0.1,-0.5128205128205129,38,173728,-0.517102,463.018,0.0424386870488836,194.02074272706463,0.0011168075539179
2138,45112.0,1.1,1.4,0.2,-0.5128205128205129,43,187373,-0.573238,513.283,0.0480226970306828,209.2594607146545,0.0011168069076902
2139,45113.0,1.1,1.4,0.3,-0.5128205128205129,73,160029,-0.518825,464.56,0.0815270901498191,178.72190013130702,0.0011168094541071
2140,45114.0,1.1,1.4,0.4,-0.5128205128205129,66,222960,-0.58643,525.094,0.0737094310732935,249.00385988032616,0.0011168095617165
2141,45115.0,1.1,1.4,0.5,-0.5128205128205129,52,150545,-0.517493,463.368,0.0580740059736537,168.1298313327636,0.0011168078071856
2142,45116.0,1.1,1.4,0.6,-0.5128205128205129,73,194065,-0.575705,515.491,0.0815270586683375,216.7335430201497,0.0011168090228539
2143,45117.0,1.1,1.4,0.7,-0.5128205128205129,64,183242,-0.511557,458.053,0.0714756763955263,204.64602959482855,0.00111680744368
2144,45118.0,1.1,1.4,0.8,-0.5128205128205129,110,299501,-0.475012,425.33,0.1228488938001081,334.4851503820563,0.0011168081254555
2145,45119.0,1.1,1.4,0.9,-0.5128205128205129,134,677162,-0.501512,449.058,0.1496524012488364,756.2605920482432,0.0011168089645435
2146,45180.0,1.15,1.15,0.0,-0.7692307692307694,39,73277,-0.763519,455.774,0.0653333472291091,122.75465858737005,0.0016752140315156
2147,45181.0,1.15,1.15,0.1,-0.7692307692307694,52,81426,-0.763976,456.047,0.0871110916199426,136.40591819702794,0.0016752133003835
2148,45182.0,1.15,1.15,0.2,-0.7692307692307694,29,140966,-0.799151,477.045,0.0485811170853902,236.1477845192801,0.0016752109339789
2149,45183.0,1.15,1.15,0.3,-0.7692307692307694,41,115269,-0.7627,455.285,0.0686837914712762,193.1002916854278,0.0016752144261286
2150,45184.0,1.15,1.15,0.4,-0.7692307692307694,54,132483,-0.807298,481.908,0.0904614407729276,221.9370936651809,0.0016752118661653
2151,45185.0,1.15,1.15,0.5,-0.7692307692307694,56,132315,-0.74188,442.857,0.0938119528425654,221.65586679221508,0.0016752134436172
2152,45186.0,1.15,1.15,0.6,-0.7692307692307694,56,177366,-0.677176,404.233,0.0938118758240915,297.12566370385395,0.0016752120682873
2153,45187.0,1.15,1.15,0.7,-0.7692307692307694,92,360459,-0.813148,485.4,0.1541195220436753,603.8453130037083,0.0016752121961269
2154,45188.0,1.15,1.15,0.8,-0.7692307692307694,84,386859,-0.789792,471.458,0.1407177903439967,648.0707577939074,0.0016752117898094
2155,45189.0,1.15,1.15,0.9,-0.7692307692307694,131,460044,-0.782899,467.343,0.2194528836422071,770.6716213915689,0.0016752128522305
2156,45190.0,1.15,1.25,0.0,-0.6493506493506493,58,113844,-0.627409,443.668,0.0820201637260293,160.9914399866567,0.001414140753897
