,ID,min,max,mag_avg,ray_avg,min_mag,max_mag,const,k,g,s,macro_m
3933,50275,237,75684,-0.415858,462.112,0.213278049477183,68.10859028114396,0.0008999073817602,1.55,1.65,0.99,-0.4132231404958678
3934,39914,27,70989,-2.13528,463.279,0.1244445787527602,327.19245189184056,0.0046090584723244,0.7,0.75,0.3,-2.1164021164021167
3935,47499,133,85934,-1.93814,462.78,0.5570089891525131,359.89481559272224,0.0041880375124249,1.45,0.85,0.9,-1.923076923076923
3936,19370,131,36082,10.5813,437.289,3.169872326996563,873.0941473487786,0.024197498679363,0.5,0.4,0.9,11.111111111111114
3937,8202,60,86004,-2.69701,455.12,0.355555897345755,509.65382325540514,0.0059259316224292,1.35,0.7,0.5,-2.7210884353741505
3938,10439,120,161213,-0.393639,458.66,0.1029884445994854,138.3589676601404,0.000858237038329,0.85,1.6,0.8,-0.3940886699507388
3939,46080,54,47145,-1.16437,481.194,0.1306665918527662,114.07919394256784,0.0024197517009771,1.65,1.15,0.0,-1.1111111111111112
3940,41843,11,48212,-6.85972,440.982,0.1711111111111111,749.9644444444444,0.0155555555555555,0.35,0.75,0.2,-7.142857142857145
3941,33301,29,49817,-2.14771,461.045,0.1350922144259237,232.06513262262905,0.0046583522215835,0.85,0.7,0.0,-2.1390374331550808
3942,42248,0,63146,-10.6318,451.582,0.0,1486.6749400994725,0.0235434539020598,0.1,0.95,0.7,-10.81081081081082
3943,25417,20,38492,-3.13684,432.115,0.1451854251761683,279.42386929405365,0.0072592712588084,0.65,0.65,0.2,-3.333333333333333
3944,8624,116,40426,3.25766,452.5,0.8351128397790055,291.03682466298346,0.0071992486187845,0.45,0.0,0.2,3.305785123966942
3945,48578,15,100232,4.15451,419.691,0.1484845993838324,992.1938910293528,0.0098989732922554,1.65,0.45,0.8,4.5454545454545485
3946,42200,255,37063,2.61867,465.951,1.4331138896579252,208.29607879369289,0.0056200544692467,0.1,0.65,0.9,2.5806451612903225
3947,47699,10,39809,16.9378,447.209,0.3787446138159115,1507.744433139762,0.0378744613815911,1.6,0.55,0.9,17.391304347826072
3948,37693,107,39523,6.48529,476.47,1.456389762209583,537.9522670262555,0.0136111192729867,0.5,0.3,0.5,6.25
3949,47788,119,130762,-1.3722,467.845,0.3490297000074811,383.5279128771281,0.0029330226891384,1.6,1.05,0.8,-1.3468013468013469
3950,48422,31,61107,3.22833,533.664,0.1875304123943155,369.6587390380464,0.0060493681417521,1.6,0.0,0.2,2.777777777777777
3951,46471,29,67197,-2.67369,429.7,0.1804445194321619,418.1148404235513,0.0062222248080055,0.9,0.6,0.1,-2.857142857142857
3952,23813,4,39740,-5.53708,432.231,0.0512418590984913,509.0878701435112,0.0128104647746228,0.2,0.9,0.0,-5.882352941176473
3953,42362,6,100079,-3.89514,469.504,0.0497777228735005,830.2841212428434,0.0082962871455834,0.2,0.95,0.1,-3.809523809523812
3954,46322,25,68481,-2.15567,517.197,0.104199656997237,285.4278684331116,0.0041679862798894,0.8,0.75,0.2,-1.9138755980861248
3955,48130,56,17602,6.23404,458.012,0.762220727841192,239.5823080617975,0.0136110844257355,1.4,0.0,0.0,6.250000000000004
3956,47611,77,79340,-1.27992,440.787,0.2235860857965411,230.38077983243608,0.002903715399955,1.5,1.0,0.1,-1.3333333333333333
3957,43597,24,88602,-0.908673,417.248,0.0522666423805506,192.9553770083979,0.0021777767658562,0.25,1.25,0.0,-1.0
3958,44724,64,260288,-0.687501,451.436,0.0974668923169618,396.397851053084,0.0015229201924525,0.9,1.2,0.7,-0.6993006993006994
3959,44838,78,133079,-0.787169,477.121,0.1286868152942335,219.55785503258085,0.0016498309653106,0.95,1.15,0.8,-0.7575757575757577
3960,48795,17,50719,-6.14361,451.367,0.2313890248954841,690.3423502161212,0.013611119111499,0.7,0.5,0.5,-6.250000000000001
3961,23820,2,59396,-5.80381,453.053,0.0256208876224194,760.889120610613,0.0128104438112097,0.2,0.9,0.7,-5.882352941176473
3962,10632,171,112029,-0.466637,458.007,0.1742220686583392,114.1399071913748,0.0010188425067739,1.65,1.6,0.9,-0.4678362573099414
3963,49556,341,583,-0.627735,459.031,0.4663250085506208,0.7972653371994485,0.00136752201921,0.1,1.55,0.99,-0.6279434850863421
3964,33212,15,37462,-4.52631,452.054,0.1501914594274135,375.0981635379844,0.0100127639618275,0.35,0.8,0.0,-4.597701149425285
3965,9204,42,29827,-2.90223,449.771,0.2710127153595941,192.46419669120505,0.0064526836990379,1.15,0.6,0.1,-2.962962962962963
3966,8532,69,229562,-1.53752,435.958,0.2433465609072433,809.6104813766464,0.0035267617522788,1.15,0.8,0.7,-1.6194331983805663
3967,40581,105,27956,3.25156,429.257,0.7953598892970878,211.76267681132748,0.0075748560885436,0.3,0.45,0.0,3.478260869565218
3968,8074,327,147436,1.10798,459.164,0.7890632976452857,355.76861269611726,0.0024130376074779,0.05,0.0,0.5,1.10803324099723
3969,50104,183,133362,-0.48106,455.596,0.1932281670602902,140.81581866390397,0.0010558916232802,1.2,1.45,0.99,-0.4848484848484848
3970,49585,316,38404,2.30666,463.393,1.5729727466750685,191.16596633958648,0.0049777618565666,0.2,0.45,0.99,2.285714285714285
3971,49262,51,5249,-51.3262,471.364,5.553322273232576,571.5566394548587,0.1088886720241681,1.05,0.15,0.2,-50.000000000000014
3972,32729,43,11957,11.7422,431.345,1.1705586015834193,325.4969581193708,0.0272222930600795,0.55,0.35,0.1,12.500000000000004
3973,49341,29,6246,22.031,404.651,1.5788889685185503,340.0600171505816,0.0544444471902948,0.8,0.0,0.1,25.00000000000001
3974,43704,55,140434,-0.683846,461.597,0.0814813137867013,208.04994218766583,0.0014814784324854,0.3,1.4,0.7,-0.6802721088435375
3975,47180,53,31220,-3.05966,467.144,0.3471348877433939,204.48209802544824,0.0065497148630829,1.3,0.65,0.0,-3.007518796992481
3976,47773,77,89785,-1.5503,455.598,0.2620141001496933,305.5186491161067,0.0034027805214245,1.6,1.0,0.3,-1.5625000000000002
3977,49098,41,123457,-12.0118,441.249,1.1161131243356923,3360.779951002721,0.0272222713252607,1.1,0.3,0.8,-12.500000000000004
3978,44170,39,120631,-0.468592,473.373,0.0386061055446761,119.41264405025213,0.0009899001421711,0.55,1.55,0.3,-0.4545454545454545
3979,7224,25,316629,3.20401,430.335,0.1861346392926441,2357.4249881836245,0.0074453855717057,1.55,0.1,0.6,3.418803418803418
3980,8594,258,80028,1.44217,478.456,0.7776678733258648,241.22172312605548,0.0030142165632785,0.15,0.0,0.2,1.384083044982699
3981,10583,91,307090,-0.430175,465.675,0.0840627583615182,283.6794776399849,0.0009237665754012,1.45,1.6,0.8,-0.4241781548250264
3982,48064,47,16386,-13.4176,431.282,1.4622154414049275,509.7843026140669,0.0311109668384027,1.3,0.4,0.4,-14.285714285714285
3983,47118,77,456174,-2.82893,467.639,0.4658029163521434,2759.573760571723,0.0060493885240538,1.25,0.65,0.8,-2.777777777777777
3984,33167,55,54905,-0.510069,465.503,0.0602655514572408,60.16145641381474,0.0010957372992225,0.05,1.7,0.0,-0.5031446540880503
3985,50080,181,34817,-44.6061,460.853,17.519044250552778,3369.947865588376,0.0967902997268109,1.2,0.25,0.99,-44.44444444444441
3986,50215,256,58632,-4.49777,454.367,2.534138966958428,580.3970152761974,0.0098989803396813,1.45,0.65,0.99,-4.545454545454544
3987,49968,161,218311,-1.11772,461.915,0.3895801608521048,528.2585993526948,0.0024197525518764,0.95,0.95,0.99,-1.1111111111111112
3988,46553,33,142438,-0.899104,451.043,0.0657818256795915,283.9342935196866,0.0019933886569573,0.9,1.05,0.3,-0.9153318077803204
3989,43442,51,65656,-0.747356,473.58,0.0804830356011656,103.6116506947084,0.0015780987372777,0.15,1.45,0.5,-0.7246376811594202
3990,49908,339,581,-0.370991,456.973,0.2752152731124158,0.4716816332693617,0.0008118444634584,0.8,1.65,0.99,-0.3727865796831314
3991,45519,159,193327,-0.392371,445.021,0.1401888652445615,170.45467139078832,0.0008816909763808,1.3,1.6,0.9,-0.4048582995951416
3992,46794,47,142884,-0.940763,475.182,0.0930503701739544,282.8810445092617,0.0019797951100841,1.05,1.05,0.4,-0.9090909090909092
3993,8279,182,41845,5.84718,463.151,2.297710163639936,528.2839659204018,0.0126247811189007,0.35,0.5,0.9,5.7971014492753605
3994,46454,50,197518,-0.908021,450.305,0.1008228867101187,398.2866987441845,0.0020164577342023,0.85,1.05,0.4,-0.9259259259259258
3995,42589,13,80123,-2.82623,470.438,0.0780995370271959,481.35147732538616,0.0060076566943996,0.4,0.85,0.8,-2.758620689655173
3996,43301,24,49298,-1.53545,444.184,0.0829629162689335,170.41274359274533,0.0034567881778722,0.1,1.2,0.4,-1.5873015873015877
3997,8660,26,57527,-3.39107,463.245,0.1903265442692311,421.1121196990793,0.0073202517026627,0.75,0.6,0.2,-3.361344537815126
3998,49699,69,51359,-0.924897,458.674,0.1391356235583442,103.56328246859424,0.0020164583124397,0.4,1.2,0.99,-0.9259259259259258
3999,49005,33,37779,-7.33562,412.629,0.586666133500069,671.6260562878517,0.0177777616212142,1.0,0.35,0.5,-8.163265306122451
4000,42900,51,74438,-1.16726,450.231,0.1322215929156366,192.98648889125803,0.0025925802532477,0.6,1.0,0.9,-1.1904761904761905
4001,43787,22,116552,-0.745718,479.391,0.0342221610334778,181.3027869442689,0.0015555527742489,0.35,1.35,0.0,-0.7142857142857142
